cuisine,meal_type,food_name,ingredients,calories,fat,sat_fat,cholestrol,sodium,carbs,fiber,sugar,protein,diet_type,fatcontent,saturatedfatcontent
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,6.27,11.21
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,14.7,11.47
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,14.91,13.0
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,4.84,12.58
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,22.39,14.79
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,16.7,1.93
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,2.18,3.41
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,8.49,2.62
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,2.85,11.67
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,11.21,10.21
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,21.85,10.56
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,4.07,3.94
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,29.31,11.89
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,10.7,13.18
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,25.9,11.71
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,15.14,14.73
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,23.03,7.03
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,7.07,6.44
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,11.01,1.39
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,16.29,6.99
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,15.72,12.05
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,21.97,14.37
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,17.79,12.86
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,25.79,6.13
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,11.87,8.32
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,21.16,7.77
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,15.79,3.29
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,27.78,1.9
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,17.24,7.8
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,9.71,7.33
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,27.98,11.6
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,8.19,13.85
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,15.53,10.76
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,1.3,0.54
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,19.41,4.47
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,4.56,5.62
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,24.49,8.28
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,2.01,14.1
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,12.5,9.91
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,24.93,10.7
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,22.44,4.43
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,3.59,10.59
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,5.48,3.74
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,23.08,1.63
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,1.29,5.66
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,25.35,11.15
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,27.24,0.68
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,16.89,14.93
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,23.81,0.73
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,22.18,6.36
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,1.55,5.85
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,14.47,8.39
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,28.44,5.2
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,24.69,6.81
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,26.04,14.01
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,3.2,8.68
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,11.21,9.25
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,1.8,9.3
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,6.9,5.72
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,19.99,12.69
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,14.67,7.15
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,17.99,10.7
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,13.53,9.35
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,27.26,11.55
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,4.7,5.9
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,28.72,11.89
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,7.56,1.82
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,24.97,0.84
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,25.87,2.1
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,28.16,0.82
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,25.53,14.78
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,12.37,13.04
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,26.88,12.88
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,26.13,10.68
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,20.22,14.69
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,28.35,2.18
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,26.86,3.51
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,8.28,0.73
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,2.61,10.14
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,12.81,3.27
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,26.87,1.82
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,26.56,5.25
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,17.47,2.4
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,8.97,6.68
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,20.16,6.33
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,23.15,10.39
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,4.54,8.57
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,28.61,5.53
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,3.64,8.92
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,22.16,9.44
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,3.81,12.13
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,14.0,7.13
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,16.76,10.12
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,16.27,1.37
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,19.5,2.43
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,11.75,4.75
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,3.77,3.31
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,17.07,8.83
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,1.13,14.93
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,5.49,10.0
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,4.92,8.98
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,11.75,1.26
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,7.72,14.79
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,22.49,11.04
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,19.39,8.82
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,11.04,11.01
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,12.04,13.65
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,17.16,14.26
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,28.51,6.72
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,27.1,11.78
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,21.81,3.45
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,20.82,7.4
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,7.35,1.3
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,16.52,3.1
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,24.18,2.68
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,12.49,11.2
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,8.26,0.78
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,26.85,6.28
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,4.07,5.6
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,1.35,5.31
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,22.51,2.9
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,21.86,13.49
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,11.71,2.74
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,24.69,5.45
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,21.4,12.56
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,20.13,6.7
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,6.05,4.51
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,5.04,7.02
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,19.99,3.83
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,19.45,10.44
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,5.53,6.75
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,17.95,13.42
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,24.48,9.73
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,24.3,7.73
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,20.82,10.82
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,27.07,5.74
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,14.42,1.85
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,23.39,2.51
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,17.57,6.88
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,12.91,3.53
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,1.46,5.19
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,24.3,13.99
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,5.18,13.01
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,16.41,2.06
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,1.86,5.16
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,10.28,9.65
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,22.99,2.17
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,8.9,12.53
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,3.81,11.15
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,14.8,1.44
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,28.69,4.64
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,15.43,4.27
