Gender,Age,Height_cm,Weight_kg,BMI_Category,Goal,Body_Part,Exercise,Equipment,Reps,Sets,Intensity,Calories_Burned_30min,MuscleGain_kg_month
Female,57,165,117,Obese,Fat Loss,Arms,Hammer Curl,Bodyweight,11,3,High,106,0.29
Female,58,159,90,Obese,Fat Loss,Chest,Chest Press Machine,Machine,15,5,High,246,0.2
Female,53,178,47,Underweight,Muscle Gain,Arms,Concentration Curl,Bodyweight,13,3,Low,239,0.3
Male,55,172,79,Overweight,Fat Loss,Chest,Incline Chest Press,Bodyweight,10,3,High,234,0.28
Female,18,157,51,Normal,Maintenance,Abs,Plank,Bodyweight,12,3,Moderate,209,0.18
Female,24,177,64,Normal,Maintenance,Back,Seated Cable Row,Machine,14,3,Moderate,137,0.15
Male,48,176,63,Normal,Maintenance,Legs,Bodyweight Squat,Bodyweight,11,5,Moderate,181,0.12
Female,51,190,56,Underweight,Muscle Gain,Legs,Step-Up,Bodyweight,11,3,Low,210,0.24
Female,60,171,57,Normal,Maintenance,Cardio,Elliptical,Cardio Machine,13,4,Moderate,200,0.25
Male,45,179,113,Obese,Fat Loss,Shoulders,Shoulder Press,Bodyweight,10,5,High,179,0.27
Female,59,179,96,Overweight,Fat Loss,Glutes,Glute Bridge,Bodyweight,10,4,High,227,0.25
Male,39,161,96,Obese,Fat Loss,Cardio,Treadmill Walk (Incline),Cardio Machine,15,5,High,223,0.2
Female,57,180,64,Normal,Maintenance,Back,Lat Pulldown,Machine,10,3,Moderate,186,0.16
Male,43,150,86,Obese,Fat Loss,Glutes,Cable Kickback,Bodyweight,15,5,High,205,0.27
Female,21,158,55,Normal,Maintenance,Chest,Pec Deck Fly,Bodyweight,12,3,Moderate,129,0.18
Female,46,169,111,Obese,Fat Loss,Glutes,Fire Hydrant,Bodyweight,10,5,High,218,0.16
Male,52,167,56,Normal,Maintenance,Abs,Russian Twist,Bodyweight,11,5,Moderate,209,0.22
Female,20,166,104,Obese,Fat Loss,Back,Resistance Band Row,Bodyweight,13,4,High,207,0.28
Male,34,188,47,Underweight,Muscle Gain,Cardio,Elliptical,Cardio Machine,15,4,Low,136,0.76
Male,60,184,91,Overweight,Fat Loss,Back,Lat Pulldown,Machine,13,4,High,142,0.27
Male,33,168,81,Overweight,Fat Loss,Full Body,Mountain Climbers,Bodyweight,15,3,High,196,0.15
Male,52,158,75,Obese,Fat Loss,Shoulders,Front Raise,Bodyweight,12,4,High,199,0.13
Female,31,152,105,Obese,Fat Loss,Abs,Crunches,Bodyweight,14,5,High,239,0.19
Male,35,158,67,Overweight,Fat Loss,Full Body,Kettlebell Swings,Kettlebell,11,4,High,146,0.29
Female,41,173,106,Obese,Fat Loss,Shoulders,Lateral Raise,Bodyweight,14,3,High,143,0.23
Male,41,174,91,Obese,Fat Loss,Full Body,Mountain Climbers,Bodyweight,14,3,High,245,0.25
Female,35,177,59,Normal,Maintenance,Chest,Pec Deck Fly,Bodyweight,13,3,Moderate,129,0.17
Female,27,178,55,Underweight,Muscle Gain,Abs,Heel Touch,Bodyweight,11,4,Low,212,0.33
Female,60,176,100,Obese,Fat Loss,Cardio,Cycling,Cardio Machine,12,4,High,173,0.24
Female,27,184,118,Obese,Fat Loss,Cardio,Elliptical,Cardio Machine,14,4,High,231,0.28
Female,39,166,100,Obese,Fat Loss,Shoulders,Arnold Press,Bodyweight,13,3,High,146,0.13
Male,38,190,87,Normal,Maintenance,Glutes,Fire Hydrant,Bodyweight,10,3,Moderate,200,0.1
Female,25,189,75,Normal,Maintenance,Abs,Plank,Bodyweight,11,3,Moderate,210,0.22
Male,33,167,87,Obese,Fat Loss,Abs,Crunches,Bodyweight,10,4,High,101,0.2
Male,57,186,62,Underweight,Muscle Gain,Full Body,Mountain Climbers,Bodyweight,10,3,Low,223,0.46
Female,22,162,92,Obese,Fat Loss,Legs,Seated Leg Extension,Bodyweight,11,5,High,185,0.19
Male,20,153,118,Obese,Fat Loss,Shoulders,Front Raise,Bodyweight,11,3,High,189,0.29
Female,34,163,63,Normal,Maintenance,Abs,Crunches,Bodyweight,12,4,Moderate,143,0.15
Female,21,170,64,Normal,Maintenance,Chest,Chest Press Machine,Machine,11,4,Moderate,145,0.13
Female,57,186,98,Overweight,Fat Loss,Arms,Triceps Pushdown,Cable,11,5,High,129,0.24
Female,51,150,120,Obese,Fat Loss,Full Body,Mountain Climbers,Bodyweight,14,3,High,171,0.11
Male,59,168,103,Obese,Fat Loss,Glutes,Hip Thrust,Bodyweight,14,5,High,214,0.18
Female,30,178,84,Overweight,Fat Loss,Chest,Incline Push-Up,Bodyweight,10,5,High,129,0.29
Female,35,164,79,Overweight,Fat Loss,Shoulders,Shoulder Press,Bodyweight,15,3,High,232,0.19
Male,24,173,66,Normal,Maintenance,Shoulders,Front Raise,Bodyweight,10,4,Moderate,158,0.21
Female,20,186,98,Overweight,Fat Loss,Shoulders,Front Raise,Bodyweight,11,4,High,246,0.21
Female,25,163,57,Normal,Maintenance,Back,Seated Cable Row,Machine,15,5,Moderate,233,0.24
Female,52,164,92,Obese,Fat Loss,Abs,Dead Bug,Bodyweight,10,4,High,118,0.25
Female,21,185,119,Obese,Fat Loss,Abs,Plank,Bodyweight,13,3,High,107,0.26
Female,39,166,63,Normal,Maintenance,Abs,Crunches,Bodyweight,13,5,Moderate,231,0.27
Male,57,172,47,Underweight,Muscle Gain,Legs,Leg Press,Machine,14,3,Low,123,0.33
Female,31,166,65,Normal,Maintenance,Glutes,Hip Thrust,Bodyweight,14,5,Moderate,103,0.12
Male,46,158,61,Normal,Maintenance,Shoulders,Arnold Press,Bodyweight,15,3,Moderate,226,0.22
Male,51,165,50,Underweight,Muscle Gain,Full Body,Jumping Jacks,Bodyweight,11,3,Low,167,0.42
Male,40,155,99,Obese,Fat Loss,Chest,Incline Chest Press,Bodyweight,13,3,High,224,0.21
Male,59,185,101,Overweight,Fat Loss,Arms,Concentration Curl,Bodyweight,10,5,High,204,0.28
Female,24,170,53,Underweight,Muscle Gain,Arms,Hammer Curl,Bodyweight,15,3,Low,101,0.74
Female,42,167,45,Underweight,Muscle Gain,Cardio,Jump Rope,Equipment,15,4,Low,242,0.41
Female,39,158,104,Obese,Fat Loss,Back,Bird Dog,Bodyweight,13,4,High,103,0.18
Male,37,150,97,Obese,Fat Loss,Arms,Overhead Extension,Dumbbell,12,4,High,238,0.15
Female,45,181,91,Overweight,Fat Loss,Chest,Push-Up,Bodyweight,12,5,High,179,0.15
Male,31,163,101,Obese,Fat Loss,Cardio,Jump Rope,Equipment,12,3,High,168,0.12
Male,41,165,56,Normal,Maintenance,Full Body,Jumping Jacks,Bodyweight,11,4,Moderate,101,0.17
Female,25,188,50,Underweight,Muscle Gain,Cardio,Elliptical,Cardio Machine,15,3,Low,193,0.7
Male,45,160,54,Normal,Maintenance,Cardio,Jump Rope,Equipment,14,5,Moderate,203,0.17
Female,59,165,98,Obese,Fat Loss,Legs,Bodyweight Squat,Bodyweight,10,3,High,223,0.17
Male,51,163,93,Obese,Fat Loss,Full Body,Jump Squats,Bodyweight,15,3,High,105,0.28
Female,30,159,63,Normal,Maintenance,Cardio,Jump Rope,Equipment,14,5,Moderate,169,0.16
Male,47,165,74,Overweight,Fat Loss,Back,Bird Dog,Bodyweight,13,5,High,217,0.22
Male,50,185,63,Underweight,Muscle Gain,Legs,Leg Press,Machine,13,5,Low,210,0.56
Female,60,158,120,Obese,Fat Loss,Chest,Chest Press Machine,Machine,15,3,High,209,0.25
Male,25,175,90,Overweight,Fat Loss,Back,Resistance Band Row,Bodyweight,15,5,High,214,0.3
Female,56,189,63,Underweight,Muscle Gain,Cardio,Rowing,Cardio Machine,13,4,Low,106,0.29
Male,31,151,93,Obese,Fat Loss,Cardio,Jump Rope,Equipment,14,5,High,207,0.12
Female,53,165,57,Normal,Maintenance,Glutes,Fire Hydrant,Bodyweight,13,5,Moderate,224,0.19
Male,26,158,73,Overweight,Fat Loss,Back,Resistance Band Row,Bodyweight,14,3,High,193,0.21
Female,51,188,78,Normal,Maintenance,Glutes,Hip Thrust,Bodyweight,13,4,Moderate,240,0.23
Male,22,152,83,Obese,Fat Loss,Back,Bird Dog,Bodyweight,13,3,High,112,0.16
Male,40,169,92,Obese,Fat Loss,Shoulders,Lateral Raise,Bodyweight,11,4,High,142,0.18
Female,23,182,113,Obese,Fat Loss,Arms,Overhead Extension,Dumbbell,11,3,High,198,0.22
Female,56,178,114,Obese,Fat Loss,Chest,Incline Chest Press,Bodyweight,12,3,High,106,0.13
Male,43,188,47,Underweight,Muscle Gain,Full Body,Jumping Jacks,Bodyweight,11,4,Low,250,0.47
Male,39,186,106,Obese,Fat Loss,Arms,Bicep Curl,Bodyweight,13,5,High,140,0.28
Female,36,188,52,Underweight,Muscle Gain,Arms,Hammer Curl,Bodyweight,15,3,Low,196,0.65
Male,48,163,117,Obese,Fat Loss,Glutes,Fire Hydrant,Bodyweight,14,3,High,180,0.29
Male,23,162,85,Obese,Fat Loss,Cardio,Elliptical,Cardio Machine,13,3,High,151,0.23
Female,44,163,93,Obese,Fat Loss,Abs,Dead Bug,Bodyweight,10,4,High,138,0.26
Female,54,167,62,Normal,Maintenance,Full Body,Jumping Jacks,Bodyweight,11,3,Moderate,217,0.21
Male,53,152,100,Obese,Fat Loss,Legs,Step-Up,Bodyweight,12,3,High,102,0.23
Female,26,176,88,Overweight,Fat Loss,Back,Lat Pulldown,Machine,14,5,High,121,0.27
Female,37,159,53,Normal,Maintenance,Shoulders,Arm Circles,Bodyweight,15,4,Moderate,102,0.24
Female,42,183,119,Obese,Fat Loss,Chest,Incline Chest Press,Bodyweight,15,3,High,134,0.13
Female,54,190,78,Normal,Maintenance,Cardio,Jump Rope,Equipment,15,3,Moderate,141,0.14
Male,18,154,46,Normal,Maintenance,Back,Lat Pulldown,Machine,14,4,Moderate,109,0.18
Female,28,167,115,Obese,Fat Loss,Arms,Overhead Extension,Dumbbell,10,3,High,137,0.13
Female,22,155,101,Obese,Fat Loss,Shoulders,Arnold Press,Bodyweight,15,3,High,246,0.3
Male,37,153,68,Overweight,Fat Loss,Legs,Leg Press,Machine,15,3,High,173,0.25
Male,58,178,97,Obese,Fat Loss,Shoulders,Front Raise,Bodyweight,11,5,High,220,0.23
Female,18,157,53,Normal,Maintenance,Back,Bent-Over Row,Bodyweight,12,3,Moderate,163,0.19
Female,27,173,64,Normal,Maintenance,Glutes,Fire Hydrant,Bodyweight,15,3,Moderate,221,0.13
Male,30,154,87,Obese,Fat Loss,Full Body,Jumping Jacks,Bodyweight,12,3,High,200,0.23
Male,50,169,50,Underweight,Muscle Gain,Chest,Incline Chest Press,Bodyweight,14,4,Low,219,0.44
Male,49,155,96,Obese,Fat Loss,Full Body,Jump Squats,Bodyweight,12,4,High,100,0.3
Female,26,156,104,Obese,Fat Loss,Back,Resistance Band Row,Bodyweight,14,3,High,159,0.19
Male,21,156,101,Obese,Fat Loss,Back,Seated Cable Row,Machine,13,3,High,207,0.15
Female,27,169,119,Obese,Fat Loss,Abs,Russian Twist,Bodyweight,12,5,High,203,0.13
Male,37,151,111,Obese,Fat Loss,Cardio,Elliptical,Cardio Machine,13,5,High,133,0.11
Male,59,186,49,Underweight,Muscle Gain,Chest,Incline Chest Press,Bodyweight,10,4,Low,146,0.32
Female,18,158,82,Obese,Fat Loss,Back,Bird Dog,Bodyweight,12,5,High,200,0.11
Female,53,175,119,Obese,Fat Loss,Legs,Walking Lunges,Bodyweight,13,3,High,207,0.29
Male,33,183,65,Normal,Maintenance,Legs,Step-Up,Bodyweight,15,4,Moderate,227,0.28
Female,38,175,70,Normal,Maintenance,Cardio,Jump Rope,Equipment,13,4,Moderate,155,0.13
Female,28,161,87,Obese,Fat Loss,Legs,Walking Lunges,Bodyweight,15,5,High,248,0.15
Female,34,182,73,Normal,Maintenance,Abs,Dead Bug,Bodyweight,11,3,Moderate,241,0.15
Male,47,182,61,Underweight,Muscle Gain,Back,Resistance Band Row,Bodyweight,15,3,Low,102,0.62
Male,19,157,78,Obese,Fat Loss,Cardio,Treadmill Walk (Incline),Cardio Machine,11,5,High,218,0.22
Male,43,160,84,Obese,Fat Loss,Cardio,Treadmill Walk (Incline),Cardio Machine,14,4,High,207,0.21
Female,18,160,52,Normal,Maintenance,Glutes,Glute Bridge,Bodyweight,15,5,Moderate,107,0.15
Male,37,150,94,Obese,Fat Loss,Legs,Walking Lunges,Bodyweight,12,5,High,236,0.17
Male,30,175,103,Obese,Fat Loss,Abs,Plank,Bodyweight,15,4,High,191,0.15
Female,45,161,52,Normal,Maintenance,Back,Lat Pulldown,Machine,14,5,Moderate,122,0.23
Female,49,150,45,Normal,Maintenance,Back,Bent-Over Row,Bodyweight,11,3,Moderate,222,0.24
Female,58,150,103,Obese,Fat Loss,Full Body,Jump Squats,Bodyweight,15,3,High,180,0.26
Male,55,184,83,Normal,Maintenance,Arms,Overhead Extension,Dumbbell,10,4,Moderate,116,0.12
Male,53,187,77,Normal,Maintenance,Cardio,Treadmill Walk (Incline),Cardio Machine,11,5,Moderate,153,0.14
Female,44,159,81,Obese,Fat Loss,Arms,Overhead Extension,Dumbbell,14,3,High,168,0.13
Male,59,164,52,Normal,Maintenance,Cardio,Cycling,Cardio Machine,14,5,Moderate,137,0.14
Male,34,175,117,Obese,Fat Loss,Full Body,Mountain Climbers,Bodyweight,12,5,High,160,0.24
Male,18,183,66,Normal,Maintenance,Arms,Concentration Curl,Bodyweight,13,4,Moderate,215,0.14
Male,27,189,60,Underweight,Muscle Gain,Chest,Incline Push-Up,Bodyweight,14,4,Low,231,0.47
Female,41,184,117,Obese,Fat Loss,Glutes,Fire Hydrant,Bodyweight,14,3,High,235,0.19
Female,35,187,94,Overweight,Fat Loss,Back,Lat Pulldown,Machine,13,5,High,110,0.28
Female,41,160,82,Obese,Fat Loss,Legs,Walking Lunges,Bodyweight,14,3,High,153,0.13
Female,33,152,59,Overweight,Fat Loss,Abs,Russian Twist,Bodyweight,11,4,High,213,0.22
Male,55,180,84,Overweight,Fat Loss,Chest,Incline Chest Press,Bodyweight,13,5,High,224,0.17
Female,52,188,56,Underweight,Muscle Gain,Back,Lat Pulldown,Machine,11,4,Low,137,0.59
Male,18,154,98,Obese,Fat Loss,Chest,Incline Push-Up,Bodyweight,10,3,High,162,0.3
Male,32,181,83,Overweight,Fat Loss,Arms,Concentration Curl,Bodyweight,11,4,High,164,0.23
Female,46,154,56,Normal,Maintenance,Glutes,Hip Thrust,Bodyweight,12,4,Moderate,240,0.18
Female,32,169,98,Obese,Fat Loss,Chest,Chest Press Machine,Machine,13,4,High,102,0.22
Female,55,158,59,Normal,Maintenance,Back,Bird Dog,Bodyweight,14,5,Moderate,170,0.18
Male,36,176,91,Overweight,Fat Loss,Glutes,Hip Thrust,Bodyweight,11,4,High,137,0.23
Male,19,159,101,Obese,Fat Loss,Back,Seated Cable Row,Machine,13,3,High,163,0.12
Male,59,167,120,Obese,Fat Loss,Glutes,Fire Hydrant,Bodyweight,10,4,High,231,0.11
Male,42,156,54,Normal,Maintenance,Cardio,Treadmill Walk (Incline),Cardio Machine,13,5,Moderate,130,0.13
Male,21,164,91,Obese,Fat Loss,Glutes,Step-Up,Bodyweight,12,3,High,110,0.16
Male,59,176,105,Obese,Fat Loss,Full Body,Jump Squats,Bodyweight,13,4,High,123,0.14
Male,59,157,85,Obese,Fat Loss,Arms,Concentration Curl,Bodyweight,13,3,High,204,0.23
Female,45,166,109,Obese,Fat Loss,Abs,Dead Bug,Bodyweight,15,5,High,119,0.11
Male,51,154,49,Normal,Maintenance,Shoulders,Lateral Raise,Bodyweight,11,5,Moderate,204,0.21
Female,18,178,56,Underweight,Muscle Gain,Glutes,Glute Bridge,Bodyweight,11,5,Low,189,0.38
Male,26,175,95,Obese,Fat Loss,Legs,Seated Leg Extension,Bodyweight,10,4,High,183,0.28
Male,31,168,77,Overweight,Fat Loss,Abs,Russian Twist,Bodyweight,11,3,High,158,0.19
Female,43,172,55,Normal,Maintenance,Arms,Overhead Extension,Dumbbell,12,3,Moderate,197,0.23
Female,40,153,94,Obese,Fat Loss,Chest,Push-Up,Bodyweight,14,3,High,142,0.22
Female,25,154,118,Obese,Fat Loss,Cardio,Rowing,Cardio Machine,11,4,High,190,0.24
Male,31,179,97,Obese,Fat Loss,Abs,Dead Bug,Bodyweight,12,3,High,168,0.22
Male,24,185,64,Normal,Maintenance,Back,Bird Dog,Bodyweight,15,4,Moderate,202,0.28
Female,36,177,94,Obese,Fat Loss,Back,Bird Dog,Bodyweight,10,5,High,241,0.16
Male,25,182,75,Normal,Maintenance,Back,Resistance Band Row,Bodyweight,14,4,Moderate,152,0.27
Male,47,159,75,Overweight,Fat Loss,Back,Bird Dog,Bodyweight,12,4,High,123,0.15
Male,21,169,72,Overweight,Fat Loss,Abs,Russian Twist,Bodyweight,15,5,High,119,0.28
Female,23,154,55,Normal,Maintenance,Arms,Concentration Curl,Bodyweight,10,5,Moderate,131,0.21
Female,50,175,90,Overweight,Fat Loss,Chest,Incline Chest Press,Bodyweight,13,5,High,222,0.17
Female,52,163,51,Normal,Maintenance,Back,Seated Cable Row,Machine,11,3,Moderate,103,0.19
Male,51,172,69,Normal,Maintenance,Legs,Leg Press,Machine,13,4,Moderate,139,0.26
Male,20,184,62,Underweight,Muscle Gain,Abs,Russian Twist,Bodyweight,15,4,Low,106,0.31
Male,30,165,114,Obese,Fat Loss,Arms,Concentration Curl,Bodyweight,15,4,High,179,0.29
Female,19,167,83,Overweight,Fat Loss,Glutes,Hip Thrust,Bodyweight,13,3,High,211,0.23
Male,56,169,46,Underweight,Muscle Gain,Back,Seated Cable Row,Machine,10,4,Low,199,0.48
Male,47,170,46,Underweight,Muscle Gain,Back,Lat Pulldown,Machine,10,5,Low,164,0.49
Female,35,165,75,Overweight,Fat Loss,Arms,Triceps Pushdown,Cable,14,4,High,214,0.24
Female,51,181,92,Overweight,Fat Loss,Abs,Heel Touch,Bodyweight,13,3,High,163,0.21
Female,51,172,57,Normal,Maintenance,Shoulders,Front Raise,Bodyweight,11,4,Moderate,248,0.14
Male,58,187,69,Normal,Maintenance,Abs,Dead Bug,Bodyweight,14,4,Moderate,217,0.26
Male,58,164,58,Normal,Maintenance,Chest,Push-Up,Bodyweight,13,4,Moderate,108,0.22
Male,58,184,115,Obese,Fat Loss,Chest,Incline Chest Press,Bodyweight,14,5,High,246,0.1
Male,21,180,50,Underweight,Muscle Gain,Arms,Bicep Curl,Bodyweight,11,5,Low,146,0.6
Female,57,185,107,Obese,Fat Loss,Shoulders,Lateral Raise,Bodyweight,11,4,High,232,0.14
Female,38,177,94,Obese,Fat Loss,Abs,Crunches,Bodyweight,14,3,High,171,0.27
Male,35,185,51,Underweight,Muscle Gain,Legs,Bodyweight Squat,Bodyweight,10,5,Low,245,0.52
Female,27,169,120,Obese,Fat Loss,Chest,Push-Up,Bodyweight,13,3,High,216,0.26
Male,33,185,74,Normal,Maintenance,Chest,Push-Up,Bodyweight,14,4,Moderate,230,0.15
Female,36,168,76,Overweight,Fat Loss,Chest,Pec Deck Fly,Bodyweight,10,4,High,103,0.21
Female,23,166,54,Normal,Maintenance,Full Body,Mountain Climbers,Bodyweight,11,3,Moderate,140,0.14
Male,53,169,50,Underweight,Muscle Gain,Cardio,Jump Rope,Equipment,10,5,Low,124,0.3
Male,33,155,67,Overweight,Fat Loss,Full Body,Kettlebell Swings,Kettlebell,11,4,High,157,0.12
Female,28,181,105,Obese,Fat Loss,Full Body,Jumping Jacks,Bodyweight,14,4,High,177,0.2
Female,46,167,72,Overweight,Fat Loss,Shoulders,Front Raise,Bodyweight,14,5,High,172,0.12
Male,21,174,62,Normal,Maintenance,Cardio,Elliptical,Cardio Machine,15,5,Moderate,157,0.12
Female,59,189,106,Overweight,Fat Loss,Abs,Heel Touch,Bodyweight,11,3,High,191,0.23
Male,28,161,92,Obese,Fat Loss,Chest,Incline Push-Up,Bodyweight,12,5,High,197,0.28
Female,33,160,110,Obese,Fat Loss,Glutes,Fire Hydrant,Bodyweight,10,3,High,228,0.16
Male,26,166,104,Obese,Fat Loss,Legs,Bodyweight Squat,Bodyweight,11,5,High,202,0.22
Female,28,161,75,Overweight,Fat Loss,Full Body,Jumping Jacks,Bodyweight,15,5,High,211,0.26
Female,18,184,77,Normal,Maintenance,Glutes,Fire Hydrant,Bodyweight,13,5,Moderate,172,0.21
Female,53,160,102,Obese,Fat Loss,Abs,Dead Bug,Bodyweight,15,4,High,222,0.22
Male,49,189,55,Underweight,Muscle Gain,Arms,Bicep Curl,Bodyweight,12,4,Low,122,0.41
Male,21,160,59,Normal,Maintenance,Full Body,Mountain Climbers,Bodyweight,11,5,Moderate,100,0.2
Female,27,171,51,Underweight,Muscle Gain,Legs,Leg Press,Machine,10,4,Low,147,0.77
Female,57,179,94,Overweight,Fat Loss,Arms,Concentration Curl,Bodyweight,14,5,High,189,0.12
Female,27,181,102,Obese,Fat Loss,Legs,Step-Up,Bodyweight,13,4,High,150,0.16
Female,37,178,61,Normal,Maintenance,Cardio,Cycling,Cardio Machine,10,5,Moderate,146,0.26
Female,28,171,78,Overweight,Fat Loss,Chest,Incline Push-Up,Bodyweight,11,5,High,130,0.19
Male,56,178,77,Normal,Maintenance,Cardio,Rowing,Cardio Machine,14,5,Moderate,135,0.12
Male,60,153,93,Obese,Fat Loss,Legs,Step-Up,Bodyweight,12,3,High,129,0.21
Male,22,165,54,Normal,Maintenance,Abs,Russian Twist,Bodyweight,15,3,Moderate,187,0.18
Female,51,186,48,Underweight,Muscle Gain,Glutes,Glute Bridge,Bodyweight,12,3,Low,116,0.34
Male,52,162,118,Obese,Fat Loss,Chest,Pec Deck Fly,Bodyweight,10,4,High,181,0.19
Female,33,177,87,Overweight,Fat Loss,Chest,Pec Deck Fly,Bodyweight,11,4,High,195,0.26
Male,28,155,83,Obese,Fat Loss,Cardio,Treadmill Walk (Incline),Cardio Machine,15,5,High,189,0.15
Male,45,166,77,Overweight,Fat Loss,Chest,Pec Deck Fly,Bodyweight,10,3,High,243,0.26
Male,23,179,62,Normal,Maintenance,Chest,Incline Chest Press,Bodyweight,14,3,Moderate,220,0.17
Female,45,150,73,Obese,Fat Loss,Chest,Incline Push-Up,Bodyweight,14,5,High,176,0.23
Male,45,188,86,Normal,Maintenance,Legs,Seated Leg Extension,Bodyweight,10,3,Moderate,125,0.29
Male,26,158,72,Overweight,Fat Loss,Full Body,Burpees,Bodyweight,11,3,High,193,0.24
Female,56,163,90,Obese,Fat Loss,Chest,Pec Deck Fly,Bodyweight,14,5,High,167,0.29
Female,21,187,106,Obese,Fat Loss,Abs,Russian Twist,Bodyweight,13,3,High,204,0.3
Male,47,188,104,Overweight,Fat Loss,Cardio,Cycling,Cardio Machine,14,3,High,205,0.1
Female,24,179,64,Normal,Maintenance,Glutes,Step-Up,Bodyweight,14,5,Moderate,212,0.21
Male,51,166,72,Overweight,Fat Loss,Cardio,Rowing,Cardio Machine,13,4,High,138,0.17
Female,48,179,57,Underweight,Muscle Gain,Arms,Concentration Curl,Bodyweight,15,3,Low,220,0.48
Male,60,171,96,Obese,Fat Loss,Back,Lat Pulldown,Machine,12,5,High,159,0.27
Female,31,153,112,Obese,Fat Loss,Shoulders,Lateral Raise,Bodyweight,10,5,High,196,0.23
Male,48,150,77,Obese,Fat Loss,Legs,Walking Lunges,Bodyweight,12,5,High,135,0.27
Female,53,176,81,Overweight,Fat Loss,Chest,Pec Deck Fly,Bodyweight,14,3,High,103,0.26
Female,26,153,52,Normal,Maintenance,Shoulders,Lateral Raise,Bodyweight,14,3,Moderate,157,0.25
Female,56,173,117,Obese,Fat Loss,Back,Bent-Over Row,Bodyweight,10,4,High,118,0.23
Male,45,156,50,Normal,Maintenance,Abs,Plank,Bodyweight,14,5,Moderate,239,0.17
Male,42,177,119,Obese,Fat Loss,Glutes,Hip Thrust,Bodyweight,10,3,High,238,0.14
Male,48,184,47,Underweight,Muscle Gain,Shoulders,Shoulder Press,Bodyweight,10,5,Low,165,0.43
Female,56,189,85,Normal,Maintenance,Abs,Russian Twist,Bodyweight,12,5,Moderate,150,0.15
Male,20,151,116,Obese,Fat Loss,Chest,Chest Press Machine,Machine,14,4,High,199,0.29
Male,41,151,70,Obese,Fat Loss,Chest,Push-Up,Bodyweight,15,5,High,227,0.16
Male,40,175,88,Overweight,Fat Loss,Back,Bent-Over Row,Bodyweight,14,4,High,117,0.12
Female,45,186,88,Overweight,Fat Loss,Back,Resistance Band Row,Bodyweight,14,3,High,169,0.18
Male,26,185,86,Overweight,Fat Loss,Abs,Plank,Bodyweight,13,3,High,168,0.12
Female,45,180,77,Normal,Maintenance,Legs,Bodyweight Squat,Bodyweight,12,3,Moderate,118,0.12
Male,59,175,45,Underweight,Muscle Gain,Cardio,Rowing,Cardio Machine,15,4,Low,212,0.51
Female,44,183,92,Overweight,Fat Loss,Chest,Pec Deck Fly,Bodyweight,14,4,High,249,0.21
Male,44,169,48,Underweight,Muscle Gain,Full Body,Mountain Climbers,Bodyweight,10,3,Low,104,0.27
Male,47,184,112,Obese,Fat Loss,Chest,Chest Press Machine,Machine,12,4,High,218,0.18
Female,20,190,83,Normal,Maintenance,Chest,Chest Press Machine,Machine,13,3,Moderate,121,0.17
Female,45,181,68,Normal,Maintenance,Cardio,Jump Rope,Equipment,14,5,Moderate,149,0.23
Female,33,190,76,Normal,Maintenance,Abs,Crunches,Bodyweight,11,5,Moderate,173,0.25
